Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
vadd_1,8.720,8.600,7.453,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
vadd_1,reduction_1024_U0,7.770,0.000,0.000,0.000
vadd_1,Block_proc_U0,0.064,0.000,0.000,0.000
vadd_1,feed_struct_1024_U0,7.335,0.000,0.000,0.000
vadd_1,init_array_16_5_U0,0.250,0.000,0.737,0.000
vadd_1,write_result_1024_U0,8.713,8.600,6.716,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
vadd_1,m_axi_gmem0,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem1,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem10,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem11,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem12,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem13,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem14,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem15,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem16,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem17,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem18,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem19,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem2,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem20,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem21,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem22,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem23,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem24,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem25,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem26,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem27,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem28,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem29,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem3,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem30,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem31,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem32,0.000,0.000,0.157,1.802
vadd_1,m_axi_gmem33,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem34,7.778,89.189,0.000,0.000
vadd_1,m_axi_gmem4,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem5,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem6,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem7,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem8,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem9,0.000,0.000,0.000,0.000

